appid;name;release_date;developer;publisher;platforms;categories;genres;positive_ratings;negative_ratings;average_playtime;median_playtime;owners;min_owners;max_owners;price
214730;Space Rangers HD: A War Apart;17/10/2013;"SNK Games;Elemental Games;Katauri Interactive";1C Entertainment;windows;"Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Stats;Steam Leaderboards";"Action;Adventure;RPG;Simulation;Strategy";3313;170;0;0;100000-200000;100000;200000;11.99
214770;Guacamelee! Gold Edition;08/08/2013;DrinkBox Studios;DrinkBox Studios;"windows;mac;linux";"Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Steam Leaderboards";"Action;Adventure;Indie";4881;338;245;317;500000-1000000;500000;1000000;9.99
214790;The Basement Collection;31/08/2012;"Edmund McMillen;Tyler Glaiel";Edmund McMillen;"windows;mac";Single-player;"Adventure;Indie;Strategy";812;153;315;479;200000-500000;200000;500000;2.99
214830;Half Minute Hero: Super Mega Neo Climax Ultimate Boy;27/09/2012;Opus;Marvelous;windows;"Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Steam Cloud;Stats;Steam Leaderboards";"Action;Casual;RPG";1147;172;254;462;200000-500000;200000;500000;6.99
214870;Painkiller Hell & Damnation;31/10/2012;The Farm 51;THQ Nordic;"windows;mac;linux";"Single-player;Multi-player;Co-op;Shared/Split Screen;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Steam Cloud;Steam Leaderboards;Includes level editor";Action;2240;679;189;174;500000-1000000;500000;1000000;17.99
214910;Air Conflicts: Pacific Carriers;21/09/2012;"Games Farm;3Division";Games Farm;"windows;mac";"Single-player;Multi-player;Steam Achievements;Partial Controller Support";"Action;Simulation";181;208;0;0;100000-200000;100000;200000;7.19
214950;Total War™: ROME II - Emperor Edition;02/09/2013;CREATIVE ASSEMBLY;SEGA;"windows;mac";"Single-player;Multi-player;Steam Trading Cards;Steam Cloud";Strategy;31864;13423;5760;1287;2000000-5000000;2000000;5000000;29.99
214970;Intrusion 2;11/09/2012;Aleksey Abramenko;Aleksey Abramenko;"windows;linux";"Single-player;Steam Achievements;Partial Controller Support;Steam Cloud";"Action;Indie";983;194;85;143;200000-500000;200000;500000;6.49
215080;WAKFU;18/09/2014;Ankama Studio;Ankama Games;"windows;mac;linux";"Multi-player;MMO;Steam Achievements;Steam Trading Cards";"Adventure;Free to Play;Massively Multiplayer;RPG;Strategy";4413;1335;2258;1086;1000000-2000000;1000000;2000000;0.0
215160;The Book of Unwritten Tales;31/07/2012;KING Art;THQ Nordic;"windows;mac;linux";Single-player;Adventure;1386;134;62;62;200000-500000;200000;500000;17.99
215280;Secret World Legends;31/07/2017;Funcom;Funcom;windows;"Multi-player;Online Multi-Player;MMO;Online Co-op;Steam Trading Cards";"Action;Adventure;Free to Play;Massively Multiplayer;RPG";4420;2106;645;408;1000000-2000000;1000000;2000000;0.0
215390;Damage Inc. Pacific Squadron WWII;28/08/2012;Trickstar Games;Mad Catz;windows;"Single-player;Multi-player;Co-op;Steam Achievements;Partial Controller Support;Steam Cloud";"Action;Simulation";6;6;0;0;0-20000;0;20000;29.99
215470;Primal Carnage;29/10/2012;Lukewarm Media;"Reverb Triple XP;Circle 5";windows;"Multi-player;Online Multi-Player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Valve Anti-Cheat enabled";"Action;Indie";4447;1323;423;470;200000-500000;200000;500000;5.59
